Date,Open,High,Low,Close,Volume
27/12/2001 16:00:00,11.16,11.49,10.57,10.6,10844400
28/12/2001 16:00:00,10.69,11.08,10.69,10.9,10262400
31/12/2001 16:00:00,10.8,11.19,10.74,10.82,6034800
02/01/2002 16:00:00,10.93,11.02,10.49,10.85,6521400
03/01/2002 16:00:00,11.05,11.94,11.05,11.9,10875700
04/01/2002 16:00:00,11.95,12.4,11.95,12.25,12687300
07/01/2002 16:00:00,12.2,12.52,12.08,12.34,12182900
08/01/2002 16:00:00,12.32,12.32,11.75,11.85,6042000
09/01/2002 16:00:00,11.98,12.17,11.3,11.53,10880900
10/01/2002 16:00:00,11.5,11.67,10.87,11.04,8129200
11/01/2002 16:00:00,11.15,11.34,10.93,11.03,4277300
14/01/2002 16:00:00,10.83,10.83,10.09,10.11,5985800
15/01/2002 16:00:00,10.25,10.42,10.16,10.29,5096100
16/01/2002 16:00:00,10.01,10.01,9.03,9.13,15049600
17/01/2002 16:00:00,9.5,9.85,9.4,9.74,16634200
18/01/2002 16:00:00,9.46,10.55,9.39,10.16,11511100
22/01/2002 16:00:00,12.15,12.8,12.15,12.6,56661000
23/01/2002 16:00:00,12.6,12.6,11.9,12.47,18031600
24/01/2002 16:00:00,12.71,14.06,12.71,14.01,23486100
25/01/2002 16:00:00,13.6,15.39,13.39,14.44,30282700
28/01/2002 16:00:00,14.76,15.77,14.76,15.5,23018100
29/01/2002 16:00:00,15.5,15.55,13.97,14.22,20249800
30/01/2002 16:00:00,14.18,14.25,13.2,13.9,14755800
31/01/2002 16:00:00,14.25,14.49,13.41,14.19,10486200
01/02/2002 16:00:00,14.05,14.09,13.35,13.73,7803600
04/02/2002 16:00:00,13.09,13.09,12.43,12.53,19140900
05/02/2002 16:00:00,12.29,12.29,11.16,11.5,14317400
06/02/2002 16:00:00,11.4,12,10.77,10.77,8906900
07/02/2002 16:00:00,11.24,11.85,11.06,11.24,7173600
08/02/2002 16:00:00,11.5,12.67,11.5,12.52,6086400
11/02/2002 16:00:00,12.8,13.5,12.54,13.3,9469700
12/02/2002 16:00:00,13.05,13.24,12.5,12.9,7463400
13/02/2002 16:00:00,13.06,13.33,13.06,13.29,6054600
14/02/2002 16:00:00,13.88,14.26,13.3,13.88,9281500
15/02/2002 16:00:00,13.75,14.04,13.27,13.41,7265400
19/02/2002 16:00:00,13.1,13.84,12.8,13.01,8293400
20/02/2002 16:00:00,13.03,13.4,12.15,12.96,8017100
21/02/2002 16:00:00,12.95,13.65,12.9,13.26,8276500
22/02/2002 16:00:00,13.23,13.23,12.7,13.07,7867500
